channel_id,z,element,shell,kappa,occupancy,file,n_rows,e0_min_keV,e0_max_keV,e_th_keV_bote,s_cert_min_A_inv,s_cert_max_A_inv,dataset_version
K_Z45,45,Rh,K,-1,2.0,F_K_Z45.json,36,30.0,400.0,23.19190,14.00,16.00,5.0.0
L1_Z45,45,Rh,L1,-1,2.0,F_L1_Z45.json,30,30.0,400.0,3.39139,14.00,16.00,5.0.0
L2_Z45,45,Rh,L2,1,2.0,F_L2_Z45.json,31,30.0,400.0,3.15168,14.00,16.00,5.0.0
L3_Z45,45,Rh,L3,-2,4.0,F_L3_Z45.json,30,30.0,400.0,3.00434,14.00,16.00,5.0.0
M1_Z45,45,Rh,M1,-1,2.0,F_M1_Z45.json,23,30.0,400.0,0.61604,14.00,16.00,5.0.0
M2_Z45,45,Rh,M2,1,2.0,F_M2_Z45.json,23,30.0,400.0,0.52024,14.00,16.00,5.0.0
M3_Z45,45,Rh,M3,-2,4.0,F_M3_Z45.json,23,30.0,400.0,0.49456,14.00,16.00,5.0.0
M4_Z45,45,Rh,M4,2,4.0,F_M4_Z45.json,22,30.0,400.0,0.32294,14.00,16.00,5.0.0
M5_Z45,45,Rh,M5,-3,6.0,F_M5_Z45.json,22,30.0,400.0,0.31779,14.00,16.00,5.0.0
K_Z46,46,Pd,K,-1,2.0,F_K_Z46.json,37,30.0,400.0,24.32590,14.00,16.00,5.0.0
L1_Z46,46,Pd,L1,-1,2.0,F_L1_Z46.json,29,30.0,400.0,3.58458,14.00,16.00,5.0.0
L2_Z46,46,Pd,L2,1,2.0,F_L2_Z46.json,31,30.0,400.0,3.33714,14.00,16.00,5.0.0
L3_Z46,46,Pd,L3,-2,4.0,F_L3_Z46.json,30,30.0,400.0,3.17481,14.00,16.00,5.0.0
M1_Z46,46,Pd,M1,-1,2.0,F_M1_Z46.json,25,30.0,400.0,0.65934,14.00,16.00,5.0.0
M2_Z46,46,Pd,M2,1,2.0,F_M2_Z46.json,24,30.0,400.0,0.55966,14.00,16.00,5.0.0
M3_Z46,46,Pd,M3,-2,4.0,F_M3_Z46.json,23,30.0,400.0,0.53101,14.00,16.00,5.0.0
M4_Z46,46,Pd,M4,2,4.0,F_M4_Z46.json,22,30.0,400.0,0.35246,14.00,16.00,5.0.0
M5_Z46,46,Pd,M5,-3,6.0,F_M5_Z46.json,22,30.0,400.0,0.34665,14.00,16.00,5.0.0
K_Z47,47,Ag,K,-1,2.0,F_K_Z47.json,28,30.0,400.0,25.48980,14.00,16.00,5.0.0
L1_Z47,47,Ag,L1,-1,2.0,F_L1_Z47.json,31,30.0,400.0,3.78369,14.00,16.00,5.0.0
L2_Z47,47,Ag,L2,1,2.0,F_L2_Z47.json,27,30.0,400.0,3.52842,14.00,16.00,5.0.0
L3_Z47,47,Ag,L3,-2,4.0,F_L3_Z47.json,31,30.0,400.0,3.34995,14.00,16.00,5.0.0
M1_Z47,47,Ag,M1,-1,2.0,F_M1_Z47.json,25,30.0,400.0,0.70401,14.00,16.00,5.0.0
M2_Z47,47,Ag,M2,1,2.0,F_M2_Z47.json,24,30.0,400.0,0.60039,14.00,16.00,5.0.0
M3_Z47,47,Ag,M3,-2,4.0,F_M3_Z47.json,24,30.0,400.0,0.56852,14.00,16.00,5.0.0
M4_Z47,47,Ag,M4,2,4.0,F_M4_Z47.json,23,30.0,400.0,0.38298,14.00,16.00,5.0.0
M5_Z47,47,Ag,M5,-3,6.0,F_M5_Z47.json,22,30.0,400.0,0.37646,14.00,16.00,5.0.0
K_Z48,48,Cd,K,-1,2.0,F_K_Z48.json,40,30.0,400.0,26.68900,14.00,16.00,5.0.0
L1_Z48,48,Cd,L1,-1,2.0,F_L1_Z48.json,31,30.0,400.0,3.99442,14.00,16.00,5.0.0
L2_Z48,48,Cd,L2,1,2.0,F_L2_Z48.json,31,30.0,400.0,3.73120,14.00,16.00,5.0.0
L3_Z48,48,Cd,L3,-2,4.0,F_L3_Z48.json,27,30.0,400.0,3.53536,14.00,16.00,5.0.0
M1_Z48,48,Cd,M1,-1,2.0,F_M1_Z48.json,24,30.0,400.0,0.75559,14.00,16.00,5.0.0
M2_Z48,48,Cd,M2,1,2.0,F_M2_Z48.json,26,30.0,400.0,0.64799,14.00,16.00,5.0.0
M3_Z48,48,Cd,M3,-2,4.0,F_M3_Z48.json,25,30.0,400.0,0.61262,14.00,16.00,5.0.0
M4_Z48,48,Cd,M4,2,4.0,F_M4_Z48.json,23,30.0,400.0,0.42006,14.00,16.00,5.0.0
