Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
21,Sc,L3,0,50,100,1.207445,2.268e-04,0.000e+00,1.590e-04
21,Sc,L3,50,150,10,1.171423,2.480e-04,0.000e+00,0.000e+00
21,Sc,L3,50,150,30,1.128819,3.215e-04,0.000e+00,0.000e+00
21,Sc,L3,50,150,100,1.097976,3.733e-04,0.000e+00,0.000e+00
22,Ti,K,0,100,10,1.130613,2.580e-05,0.000e+00,1.243e-04
22,Ti,K,0,100,30,1.107507,3.071e-05,0.000e+00,1.233e-04
22,Ti,K,0,100,100,1.060416,7.735e-05,0.000e+00,1.222e-04
22,Ti,K,0,200,10,1.130764,3.805e-05,0.000e+00,2.867e-05
22,Ti,K,0,200,30,1.107866,4.224e-05,0.000e+00,2.822e-05
22,Ti,K,0,200,100,1.060760,8.651e-05,0.000e+00,2.770e-05
22,Ti,K,0,50,10,1.131268,1.779e-05,0.000e+00,1.216e-04
22,Ti,K,0,50,30,1.108068,2.312e-05,0.000e+00,1.211e-04
22,Ti,K,0,50,100,1.061022,7.151e-05,0.000e+00,1.205e-04
22,Ti,K,50,150,10,1.130418,3.847e-05,0.000e+00,0.000e+00
22,Ti,K,50,150,30,1.107520,4.244e-05,0.000e+00,0.000e+00
22,Ti,K,50,150,100,1.060378,8.651e-05,0.000e+00,0.000e+00
22,Ti,L1,0,100,10,1.110154,4.661e-05,0.000e+00,1.515e-04
22,Ti,L1,0,100,30,1.069384,1.021e-04,0.000e+00,1.510e-04
22,Ti,L1,0,100,100,1.031882,3.308e-04,0.000e+00,1.479e-04
22,Ti,L1,0,200,10,1.106730,9.597e-05,0.000e+00,4.100e-05
22,Ti,L1,0,200,30,1.067350,1.352e-04,0.000e+00,4.053e-05
22,Ti,L1,0,200,100,1.029348,3.935e-04,0.000e+00,3.876e-05
22,Ti,L1,0,50,10,1.114522,1.756e-05,0.000e+00,1.347e-04
22,Ti,L1,0,50,30,1.077725,8.456e-05,0.000e+00,1.340e-04
22,Ti,L1,0,50,100,1.043721,3.030e-04,0.000e+00,1.323e-04
22,Ti,L1,50,150,10,1.103178,1.119e-04,0.000e+00,0.000e+00
22,Ti,L1,50,150,30,1.058192,1.441e-04,0.000e+00,0.000e+00
22,Ti,L1,50,150,100,1.015670,4.055e-04,0.000e+00,0.000e+00
22,Ti,L2,0,100,10,1.194785,1.314e-04,0.000e+00,1.730e-04
22,Ti,L2,0,100,30,1.152849,2.064e-04,0.000e+00,1.667e-04
22,Ti,L2,0,100,100,1.124731,2.538e-04,0.000e+00,1.647e-04
22,Ti,L2,0,200,10,1.176271,1.964e-04,0.000e+00,5.156e-05
22,Ti,L2,0,200,30,1.135164,2.662e-04,0.000e+00,4.824e-05
22,Ti,L2,0,200,100,1.103775,3.231e-04,0.000e+00,4.701e-05
22,Ti,L2,0,50,10,1.224482,9.951e-05,0.000e+00,1.416e-04
22,Ti,L2,0,50,30,1.182024,1.759e-04,0.000e+00,1.388e-04
22,Ti,L2,0,50,100,1.155716,2.222e-04,0.000e+00,1.380e-04
22,Ti,L2,50,150,10,1.147007,2.241e-04,0.000e+00,0.000e+00
22,Ti,L2,50,150,30,1.108453,2.840e-04,0.000e+00,0.000e+00
22,Ti,L2,50,150,100,1.076842,3.399e-04,0.000e+00,0.000e+00
22,Ti,L3,0,100,10,1.196140,1.326e-04,0.000e+00,1.746e-04
22,Ti,L3,0,100,30,1.154057,2.093e-04,0.000e+00,1.683e-04
22,Ti,L3,0,100,100,1.126234,2.561e-04,0.000e+00,1.662e-04
22,Ti,L3,0,200,10,1.177476,1.980e-04,0.000e+00,5.222e-05
22,Ti,L3,0,200,30,1.136188,2.702e-04,0.000e+00,4.883e-05
22,Ti,L3,0,200,100,1.105050,3.262e-04,0.000e+00,4.759e-05
22,Ti,L3,0,50,10,1.226067,1.000e-04,0.000e+00,1.425e-04
22,Ti,L3,0,50,30,1.183492,1.803e-04,0.000e+00,1.398e-04
22,Ti,L3,0,50,100,1.157507,2.238e-04,0.000e+00,1.389e-04
